sourceurl,company_name,company_homepage_url
"https://theorg.com/companies/y-1","Yamhill County District Attorney's Office","https://www.yamhillcounty.gov"
"https://theorg.com/companies/y-1","Yamatane Corp","https://yamatane.co.jp/"
"https://theorg.com/companies/y-1","Yami","https://www.yami.eu"
"https://theorg.com/companies/y-1","YA-MAN U.S.A. LTD","https://www.ya-manusa.com/pages/aboutus"
"https://theorg.com/companies/y-1","YAMA Technologies Pvt. Ltd.","https://www.yamatech.in"
"https://theorg.com/companies/y-1","YAMAS A.Ş.",""
"https://theorg.com/companies/y-1","Yamazaki Co Ltd","https://www.yamazaki-iron.co.jp/"
"https://theorg.com/companies/y-1","YAM Capital","https://yamcapital.com/"
"https://theorg.com/companies/y-1","Yamamay","https://corporate.yamamay.com/it"
"https://theorg.com/companies/y-1","Yamata Yatırım İnşaat Turizm ve Ticaret A.Ş.","https://yamata.com.tr/"
"https://theorg.com/companies/y-1","Yamazen Inc","https://www.yamazen.com"
"https://theorg.com/companies/y-1","Yampa Valley Electric Association","https://www.yvea.com"
"https://theorg.com/companies/y-1","Yamama Cement","https://www.yamamacement.com/Pages/home.aspx"
"https://theorg.com/companies/y-1","YAMAMOTO OF ORIENT, INC","https://yamamotoyama.com"
"https://theorg.com/companies/y-1","Yamibuy","http://www.yamibuy.com/en/"
"https://theorg.com/companies/y-1","Yamashin","http://www.yamashin-filter.co.jp"
"https://theorg.com/companies/y-1","Yamnaya","https://www.yamnaya.es/"
"https://theorg.com/companies/y-1","Yami Herbals","https://yamiherbals.com"
"https://theorg.com/companies/y-1","Yammm Software","http://www.yammm.com"
"https://theorg.com/companies/y-1","yamo","http://www.yamo.bio"
